Year,Championship,Position,Name,Academy,Gender,Age Group,Belt Color,Weight Class,Weight
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Ryan victor da Siva,Vision,Male,Juvenile 1,Blue,Rooster,107.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Alex Kane Dovsek,Art of Jiu Jitsu,Male,Juvenile 1,Blue,Rooster,107.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Jason Dinh Nguyen,Inicio Jiu-Jitsu,Male,Juvenile 1,Blue,Rooster,107.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Pablo Dias de Araujo,Athlas Training Team,Male,Juvenile 1,Blue,Rooster,107.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Jonathan Thomas Becker,Inicio Jiu-Jitsu,Male,Juvenile 1,Blue,Light-Feather,118.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Christian de La Fuente,Art of Jiu Jitsu,Male,Juvenile 1,Blue,Light-Feather,118.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Kaden Zane Leal Pires,Gracie Barra,Male,Juvenile 1,Blue,Light-Feather,118.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Saulo de Pádua C. M. Bravo,Gracie Humaita,Male,Juvenile 1,Blue,Light-Feather,118.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Ricardo Yoshito Kavati Amaral,Art of Jiu Jitsu,Male,Juvenile 1,Blue,Feather,129.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Vicente Tanabe Lalli,CheckMat,Male,Juvenile 1,Blue,Feather,129.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Hawann Hennye Moreira dos Santos,Gracie Barra,Male,Juvenile 1,Blue,Feather,129.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Luca Dos Santos Oliveira,GF Team,Male,Juvenile 1,Blue,Feather,129.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Fernando Fábio Paiva,Melqui Galvão Jiu-jitsu,Male,Juvenile 1,Blue,Light,141.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Jonathan Anderson,Gracie Barra,Male,Juvenile 1,Blue,Light,141.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Alyson Lima da Silva,CheckMat,Male,Juvenile 1,Blue,Light,141.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Jonathan Carl Ekström,CheckMat,Male,Juvenile 1,Blue,Light,141.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Luke Evan Reid,BJJ Coach - Corral's Martial Arts,Male,Juvenile 1,Blue,Middle,152.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Murilo Cardoso Neves,Alliance,Male,Juvenile 1,Blue,Middle,152.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Davi Abrão Dias Barbosa,Melqui Galvão Jiu-jitsu,Male,Juvenile 1,Blue,Middle,152.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Thiago Marcio Ribeiro de Deus,Infight JJ,Male,Juvenile 1,Blue,Middle,152.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Kalebe Henrique Sartarelli Pereira,Melqui Galvão Jiu-jitsu,Male,Juvenile 1,Blue,Medium-Heavy,163.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Lucques David Sorenson,One Jiu-Jitsu USA,Male,Juvenile 1,Blue,Medium-Heavy,163.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Jameson Hayes Brewster,Soul Fighters BJJ,Male,Juvenile 1,Blue,Medium-Heavy,163.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Marcos V Brandao,Submit Your Friend Academy,Male,Juvenile 1,Blue,Medium-Heavy,163.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Ricardo Candido Gomes Filho,Academia Bulldog Team,Male,Juvenile 1,Blue,Heavy,175.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Eduardo  Cancela Cruz,Atos Jiu-Jitsu,Male,Juvenile 1,Blue,Heavy,175.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,João Pedro Figueiredo Araujo,CheckMat,Male,Juvenile 1,Blue,Heavy,175.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,João Vítor Martins Freires,Melqui Galvão Jiu-jitsu,Male,Juvenile 1,Blue,Heavy,175.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Luciano Sales Filho,Berg Brazilian Jiu Jitsu - MA,Male,Juvenile 1,Blue,Super-Heavy,186.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Danilo Rodrigues do Nascimento Lira,Gracie Barra,Male,Juvenile 1,Blue,Super-Heavy,186.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,João Lucas C. M. Aguiar,Gracie Barra,Male,Juvenile 1,Blue,Super-Heavy,186.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Ronald Telles Sotero,Infight JJ,Male,Juvenile 1,Blue,Super-Heavy,186.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Luiz Miguel de Souza Mascarenhas Men,Infight JJ,Male,Juvenile 1,Blue,Ultra-Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Jacob Matthew Ramirez,LEAD BJJ,Male,Juvenile 1,Blue,Ultra-Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Przemyslaw P. Ziembikiewicz-Mysiala,Roger Gracie Academy,Male,Juvenile 1,Blue,Ultra-Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Renzo Cooligan,Renzo Gracie,Male,Juvenile 1,Blue,Ultra-Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Jonathan Anderson,Gracie Barra,Male,Juvenile 1,Blue,Open Class Light,
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Fernando Fábio Paiva,Melqui Galvão Jiu-jitsu,Male,Juvenile 1,Blue,Open Class Light,
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Alyson Lima da Silva,CheckMat,Male,Juvenile 1,Blue,Open Class Light,
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Pablo Dias de Araujo,Athlas Training Team,Male,Juvenile 1,Blue,Open Class Light,
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Luiz Miguel de Souza Mascarenhas Men,Infight JJ,Male,Juvenile 1,Blue,Open Class Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Renzo Cooligan,Renzo Gracie,Male,Juvenile 1,Blue,Open Class Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Kalebe Henrique Sartarelli Pereira,Melqui Galvão Jiu-jitsu,Male,Juvenile 1,Blue,Open Class Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Ronald Telles Sotero,Infight JJ,Male,Juvenile 1,Blue,Open Class Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Kiani Sky Gonzalez,Alliance,Female,Juvenile 1,Blue,Rooster,98.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Mylan Ngoc Nguyen,Brasa CTA,Female,Juvenile 1,Blue,Rooster,98.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Lara Quirino de Mendonça,Double Five,Female,Juvenile 1,Blue,Rooster,98.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Maria Eduarda de Faria Abreu,R1NG BJJ,Female,Juvenile 1,Blue,Light-Feather,106.60
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Paisley Grace Nolan,CheckMat,Female,Juvenile 1,Blue,Light-Feather,106.60
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Beatriz Fernandes Borges,Carioca Brazilian Jiu-Jitsu,Female,Juvenile 1,Blue,Light-Feather,106.60
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Elyane Adjo Aziakpo,Carlson Gracie Team,Female,Juvenile 1,Blue,Light-Feather,106.60
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Natalee Funegra,Art of Jiu Jitsu,Female,Juvenile 1,Blue,Feather,116.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Katherine Miracle Lo,Soul Fighters BJJ,Female,Juvenile 1,Blue,Feather,116.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Julia Bandeira Ayres Sant'anna,Gracie Humaita,Female,Juvenile 1,Blue,Feather,116.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Rafaela do Nascimento Silva,Cohab Team Brazilian Jiu-Jitsu,Female,Juvenile 1,Blue,Feather,116.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Kimberly Nguyen,DreamArt,Female,Juvenile 1,Blue,Light,125.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Eduarda Franklin Soares,Tetris,Female,Juvenile 1,Blue,Light,125.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Maria Eduarda Aguiar Martim,Vision,Female,Juvenile 1,Blue,Light,125.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Olivia Michelle Marlow,CFS BJJ,Female,Juvenile 1,Blue,Light,125.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Isabella DeLa Cruz Butler,Art of Jiu Jitsu,Female,Juvenile 1,Blue,Middle,133.60
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Manuella Jacome dos Santos,Squad BJJ,Female,Juvenile 1,Blue,Middle,133.60
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Abigail Allecia Cummings,Brasa CTA,Female,Juvenile 1,Blue,Middle,133.60
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Dania Silva,Atos Jiu-Jitsu,Female,Juvenile 1,Blue,Middle,133.60
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Maria Clara Medeiros B. C. Quintino,Atos Jiu-Jitsu,Female,Juvenile 1,Blue,Medium-Heavy,143.60
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Brenda de Carvalho Coelho Gonçalves,Alliance,Female,Juvenile 1,Blue,Medium-Heavy,143.60
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Chloé Heyraud,WAO,Female,Juvenile 1,Blue,Medium-Heavy,143.60
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Magdalena Mia Owczarek,CheckMat,Female,Juvenile 1,Blue,Medium-Heavy,143.60
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Maria Eduarda Lima Ayres,Ronaldo Jacaré BJJ Academy,Female,Juvenile 1,Blue,Heavy,152.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Zuzanna Agata Skórkowska,Logic Europe,Female,Juvenile 1,Blue,Heavy,152.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Delany Danielle Salcedo,Alliance,Female,Juvenile 1,Blue,Heavy,152.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Hermione Willow Medina,CheckMat,Female,Juvenile 1,Blue,Heavy,152.00
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Livia Barasine Correa,JFC Almeida JJ,Female,Juvenile 1,Blue,Super-Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Elise Maree Docherty,Draig,Female,Juvenile 1,Blue,Super-Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Natalee Funegra,Art of Jiu Jitsu,Female,Juvenile 1,Blue,Open Class Light,
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Katherine Miracle Lo,Soul Fighters BJJ,Female,Juvenile 1,Blue,Open Class Light,
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Julia Bandeira Ayres Sant'anna,Gracie Humaita,Female,Juvenile 1,Blue,Open Class Light,
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Maria Eduarda Aguiar Martim,Vision,Female,Juvenile 1,Blue,Open Class Light,
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Livia Barasine Correa,JFC Almeida JJ,Female,Juvenile 1,Blue,Open Class Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Dania Silva,Atos Jiu-Jitsu,Female,Juvenile 1,Blue,Open Class Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Magdalena Mia Owczarek,CheckMat,Female,Juvenile 1,Blue,Open Class Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Manuella Jacome dos Santos,Squad BJJ,Female,Juvenile 1,Blue,Open Class Heavy,
2024,World IBJJF Jiu-Jitsu Championship 2024,1,Victor Gabriel Carvalho da Costa,Hope Jiu-Jitsu,Male,Juvenile 2,Blue,Rooster,118.00
2024,World IBJJF Jiu-Jitsu Championship 2024,2,Kianoa Roberts,Gracie Humaita Botany,Male,Juvenile 2,Blue,Rooster,118.00
2024,World IBJJF Jiu-Jitsu Championship 2024,3,Conner Cyle Afable,Cicero Costha Internacional,Male,Juvenile 2,Blue,Rooster,118.00
